Date,Page views,Site sessions,Unique visitors,Bounce rate,Avg. session duration
5/24/2026,3,3,3,100%,
5/23/2026,32,4,4,50%,"1m, 58s"
5/22/2026,6,2,2,50%,"3m, 45s"
5/21/2026,3,3,3,100%,
5/20/2026,16,9,9,44%,"1m, 45s"
5/19/2026,8,5,5,60%,"4m, 46s"
5/18/2026,34,10,10,40%,"3m, 40s"
5/17/2026,26,7,7,57%,"1m, 43s"
5/15/2026,17,7,7,57%,"1m, 6s"
5/14/2026,4,3,3,67%,38s
5/13/2026,3,3,3,100%,
5/12/2026,17,9,8,67%,"1m, 11s"
5/11/2026,12,10,10,90%,"1m, 1s"
5/10/2026,10,4,4,50%,"28s, 500ms"
5/9/2026,7,7,7,100%,
5/8/2026,3,3,3,100%,
5/7/2026,22,3,3,0%,55s
5/6/2026,14,10,9,70%,"9m, 4s"
5/5/2026,14,11,10,91%,"5m, 29s"
5/4/2026,9,8,8,88%,6s
5/3/2026,12,3,3,67%,"18m, 33s"
5/2/2026,1,1,1,100%,
5/1/2026,9,6,6,67%,3m
4/30/2026,4,4,4,100%,
4/29/2026,6,6,6,100%,
4/27/2026,36,12,11,75%,"50s, 333ms"
4/26/2026,23,10,7,50%,"6m, 2s"
4/25/2026,18,8,8,63%,"1m, 50s"
