Page path,Page views,Site sessions,Unique visitors
/,482,417,337
/contact,197,178,173
/about-us,143,121,108
/post/boxed-in-eaves-fire-safety,129,122,104
/request-free-estimate,61,49,46
/services,45,40,34
/services/window-replacement,42,36,34
/services/soffit-installation,37,30,29
/blog,33,27,25
/reviews,27,25,23
/faq,25,23,22
/services/kitchen-remodeling,25,20,16
/services/siding-services,21,19,18
/services/bathroom-remodeling,21,18,18
/scheduling-page,20,20,18
/services/hvac-installation,19,19,19
/services/solar-panel-installation,19,17,15
/beforeaftergallery,17,16,16
/services/painting-services,14,13,13
/accessibility-statement,13,13,13
/booking-calendar/schedule-a-free-estimate,11,11,11
/terms-and-conditions,11,11,11
/booking-form,10,10,10
/thank-you-page,10,9,8
/privacy-policy,7,7,7
/services/painting,6,6,6
/post/blog-when-to-replace-windows-los-angeles,6,6,3
/post/how-energy-efficient-windows-cut-your-ladwp-bill-in-los-angeles,5,5,5
/beforeaftergallery/kitchen-remodel,2,2,2
/beforeaftergallery/shower-upgrade,2,2,2
/beforeaftergallery/laundry-room-makeover,1,1,1
/cart-page,1,1,1
/beforeaftergallery/deck-refresh,1,1,1
/blog/tags/boxed-in-eaves,1,1,1
/service-page/schedule-a-free-estimate,1,1,1
